,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
602,1,30.0216626145641,77.3690009027791,29.96497484,76.99823166,0,855,11,3,42,1,zg,755193044215,755,75519304,1,object,o,2019-01-26 04:37:59.198+00,2458509.693044,30,20190126192951,4.7386198,1.46899998,-0.683221996,0,19.7992992,1536.5,1540.5,29.96493328175,76.99829763664998,-0.0002797151255779,3.023931648432e-05,-3.016886178008e-05,-0.0002796948201205,31.73092364,77.4695227,27.78575026,77.37386103999998,28.32225594,76.51609575,32.02141596,76.60557656,2019-12-11 00:00:00+00,1
603,1,30.0216626145641,77.3690009027791,30.10303663,76.98126496,0,855,11,3,42,1,zg,1291455794215,1291,129145579,1,object,o,2020-07-15 10:56:21.965+00,2459045.9557986,30,20200715455764,2.45148993,1.54999995,-0.273128986,0,20.6702995,1536.5,1540.5,30.10316405125,76.98126219827,-0.0002798605046891,2.898430227921e-05,-2.891835796778e-05,-0.0002798370489915,31.87707338,77.45100714,27.93462942,77.35891904999998,28.4529569,76.50064892,32.14895402,76.58665012999998,2021-03-31 00:00:00+00,1
604,1,30.0216626145641,77.3690009027791,30.06862962,77.00585512,0,855,11,3,42,1,zg,1870218814215,1870,187021881,1,object,o,2022-02-14 05:15:06.215+00,2459624.7188194,30,20220214218808,1.82310998,1.65900004,0.939810991,0,19.8418999,1536.5,1540.5,30.0688251459,77.00585272639998,-0.000279709577222,2.997280841413e-05,-2.990931008745e-05,-0.0002796831115249,31.83781445,77.47673774,27.89002231,77.38175491,28.42332763,76.52414821,32.12431932,76.61292317,2022-05-09 00:00:00+00,1
605,1,30.0216626145641,77.3690009027791,30.0302833,76.99743128999998,0,855,11,3,42,1,zg,1502266284215,1502,150226628,1,object,o,2021-02-11 06:23:27.215+00,2459256.7662847,30,20210211266262,2.44210005,1.79700005,-0.00310772005,0,20.4316006,1536.5,1540.5,30.03029363261,76.99742484508,-0.0002797277614331,3.019084925679e-05,-3.01179150507e-05,-0.0002797161531685,31.79729297,77.46877417,27.8513267,77.37289631,28.38675627,76.51527978,32.08661831,76.60487428,2021-06-30 00:00:00+00,1
606,1,30.0216626145641,77.3690009027791,30.01413419,77.02238801,4194304,855,11,3,42,1,zg,2182262514215,2182,218226251,1,object,o,2022-12-23 06:18:01.504+00,2459936.7625116,30,20221223262477,1.98768997,1.43700004,-0.000404335995,0,20.7858009,1536.5,1540.5,30.01428176481,77.02242331495998,-0.0002797258960454,3.024224197821e-05,-3.017330582339e-05,-0.000279702723514,31.78347043,77.49378127,27.83093361,77.39797418,28.36881377,76.54019303,32.07422457,76.62965277,2023-03-09 00:00:00+00,1
607,1,30.0216626145641,77.3690009027791,30.03065247,77.01609808,33554432,855,11,3,42,1,zg,1468177284215,1468,146817728,1,object,o,2021-01-08 04:15:17.905+00,2459222.6772801,30,20210108177280,1.86764002,1.39499998,-0.302585006,0,18.3908005,1536.5,1540.5,30.03059164821,77.01616750126,-0.0002797484742294,2.998461487411e-05,-2.990808902205e-05,-0.0002797124506814,31.80078171,77.48715923999998,27.85017588,77.39210514,28.38416824,76.53423148999998,32.08820141,76.62298640999998,2021-03-31 00:00:00+00,1
608,1,30.0216626145641,77.3690009027791,29.94827983,77.01404854,0,855,11,3,42,1,zg,737171904215,737,73717190,1,object,o,2019-01-08 04:07:33.029+00,2458491.6719097,30,20190108171806,2.68175006,1.38600004,0.0398643985,0,20.6474991,1536.5,1540.5,29.9483180119,77.01409550385,-0.0002797224350573,3.017097049303e-05,-3.010126913331e-05,-0.0002796970730541,31.71673557,77.48539366,27.76697141,77.38972698,28.30379762,76.53189456,32.00651264,76.62125783,2019-12-11 00:00:00+00,1
609,1,30.0216626145641,77.3690009027791,30.02741332,77.01209068999998,0,855,11,3,42,1,zg,1412404064215,1412,141240406,1,object,o,2020-11-13 09:41:51.104+00,2459166.9040625,30,20201113404005,1.98767996,1.49000001,-0.0500653982,0,20.8780003,1536.5,1540.5,30.02751163572,77.01212044627998,-0.0002797376799135,3.021676848912e-05,-3.014523875363e-05,-0.000279715249676,31.7955836,77.48345585,27.84553988,77.38773165,28.38307147,76.52991444,32.08602999,76.61935162999998,2021-03-31 00:00:00+00,1
610,1,30.0216626145641,77.3690009027791,30.13118096,76.97560995,0,855,11,3,42,1,zg,1366328394215,1366,136632839,1,object,o,2020-09-28 07:52:54.063+00,2459120.8283912,30,20200928328322,2.42155004,1.41600001,0.88635999,0,19.9386005,1536.5,1540.5,30.13131266053,76.97561207171998,-0.0002798304145401,2.923834724774e-05,-2.917378433232e-05,-0.0002798085550935,31.90200419,77.4456487,27.96241726,77.35295313,28.48375413,76.49465148,32.17753898,76.58135428999998,2021-03-31 00:00:00+00,1
611,1,30.0216626145641,77.3690009027791,30.13649939,77.01431483,4194304,855,11,3,42,1,zg,2427386454215,2427,242738645,1,object,o,2023-08-25 09:16:30.17+00,2460181.8864583,30,20230825386447,2.42143011,1.47000003,0.605745971,0,20.7070007,1536.5,1540.5,30.13648041402,77.0143247819,-0.0002798495180325,2.916694773165e-05,-2.910299124191e-05,-0.0002798269660463,31.91380017,77.48427492,27.96164303,77.39176424,28.48337262,76.53345846,32.1881443,76.61989162,2023-11-07 00:00:00+00,1
612,1,30.0216626145641,77.3690009027791,29.97081663,77.01021255,0,855,11,3,42,1,zg,689192624215,689,68919262,1,object,o,2018-11-21 04:37:23.948+00,2458443.6926273,30,20181121192083,2.48326993,1.38100004,0.948741019,0,19.6681004,1536.5,1540.5,29.97100763697,77.01025146882,-0.0002797592546485,2.996946959407e-05,-2.990153804048e-05,-0.0002797403091824,31.74100111,77.48131055,27.79196489,77.38629965,28.32452778,76.528262,32.0268514,76.61704629,2019-05-08 00:00:00+00,1
